brand,sellers,listing_active,where_voucher_works,website,how_confirmed,notes
Ornaz,buyhatke,yes,website,ornaz.com,extension list (#26),
Oven Story,buyhatke + gyftr + maximize,yes,website,ovenstory.in,extension list (#26),
Ovenstory Pizza,gyftr,no,store only,eatsure.com,page loaded and checked 2026-09-17,
Pa Pa Ya,gyftr,yes,store only,massiverestaurants.com,web search 2026-09-17,a Massive Restaurants brand
Palmonas,gyftr + maximize,yes,website,palmonas.com,extension list (#26),
PANTALOONS,gyftr + maximize,yes,store only,pantaloons.com,page loaded and checked 2026-09-17,
Park Avenue,gyftr + maximize,yes,store only,parkavenue.co.in,page loaded and checked 2026-09-17,
Park Avenue In Store,buyhatke,no,store only,parkavenue.co.in,page loaded and checked 2026-09-17,
Parx,gyftr + maximize,yes,store only,myraymond.com,web search 2026-09-17,Raymond's shop for Parx
Parx In Store,buyhatke,no,store only,myraymond.com,web search 2026-09-17,Raymond's shop for Parx
Paul and Shark - Luxe,maximize,yes,store only,paulandshark.com,site did not answer an automatic visit (2026-09-17),
Paul and Shark Luxe In Store,buyhatke,no,store only,paulandshark.com,site did not answer an automatic visit (2026-09-17),
Paul Shark Luxe In Store,buyhatke,yes,store only,paulandshark.com,site did not answer an automatic visit (2026-09-17),
PAUL SHARK- Luxe Gift Card,gyftr,yes,store only,paulandshark.com,site did not answer an automatic visit (2026-09-17),
Paul Smith In Store,buyhatke,yes,store only,paulsmith.com,page loaded and checked 2026-09-17,
PC Chandra Gold Coin,buyhatke + maximize,yes,website,pcchandraindia.com,extension list (#26),
PC Jeweller Diamond,gyftr,yes,store only,pcjeweller.com,page loaded and checked 2026-09-17,
PC Jeweller Gold,gyftr,yes,store only,pcjeweller.com,page loaded and checked 2026-09-17,
PC Jeweller Gold Coin,gyftr,no,store only,pcjeweller.com,page loaded and checked 2026-09-17,
PCJ Diamond,buyhatke,yes,website,pcjeweller.com,extension list (#26),
PCJ Diamond Jewellery,maximize,yes,store only,pcjeweller.com,page loaded and checked 2026-09-17,
PCJ Diamond Jewellery In Store,buyhatke,yes,store only,pcjeweller.com,page loaded and checked 2026-09-17,
PCJ Gold Coin,buyhatke + maximize,yes,website,pcjeweller.com,confirmed 2026-09-10: auto: name in address,
PCJ Gold Coin In Store,buyhatke,yes,store only,pcjeweller.com,page loaded and checked 2026-09-17,
PCJ Gold Jewellery,buyhatke + maximize,yes,website,pcjeweller.com,confirmed 2026-09-10: auto: name in address,
PCJ Gold Jewellery In Store,buyhatke,yes,store only,pcjeweller.com,page loaded and checked 2026-09-17,
Peora Fashions,maximize,yes,store only,peorajewellery.com,"web search: peorajewellery.com (Peora Fashions Pvt Ltd, Mumbai; peora.com is an unrelated US shop); Maximize: redeem at select stores",
Peora Fashions In Store,buyhatke,yes,store only,peorajewellery.com,page loaded and checked 2026-09-17,
PEORA In Store,buyhatke,yes,store only,peorajewellery.com,page loaded and checked 2026-09-17,
Pepperfry,buyhatke + maximize,yes,website,pepperfry.com,extension list (#26),
Pepperfry Luxury,buyhatke,yes,website,pepperfry.com,confirmed 2026-09-10: auto: name in address,
Peter England,maximize,yes,store only,peterengland.abfrl.in,page loaded and checked 2026-09-17,
Peter England Gift Voucher,gyftr,no,store only,peterengland.abfrl.in,page loaded and checked 2026-09-17,
Peter England In Store,buyhatke,yes,store only,peterengland.abfrl.in,page loaded and checked 2026-09-17,
Philips,buyhatke + gyftr,yes,website,domesticappliances.philips.co.in,extension list (#26),
PhonePe,maximize,no,website,phonepe.com,extension list (#26),
PhonePe (Fixed),maximize,no,website,phonepe.com,confirmed 2026-09-10: auto: name in address,
Photojaanic,buyhatke,yes,website,photojaanic.com,extension list (#26),
Pigeon,gyftr,yes,store only,stovekraft.com,web search 2026-09-17,Pigeon by Stovekraft; pigeonappliances.com shop is unavailable
Pigeon In Store,buyhatke,yes,store only,stovekraft.com,web search 2026-09-17,Pigeon by Stovekraft; pigeonappliances.com shop is unavailable
PinePerksRupayPrime-WH,maximize,yes,website,pineperks.in,extension list (#26),
Pixel Go,buyhatke + maximize,yes,website,pixelgo.com,extension list (#26),
Pizza Hut,buyhatke + gyftr,yes,website,pizzahut.co.in,extension list (#26),
Pizza Hut Offline In Store,buyhatke,yes,store only,pizzahut.co.in,page loaded and checked 2026-09-17,
Planet Fashion,maximize,yes,store only,planetfashion.abfrl.in,page loaded and checked 2026-09-17,
Planet Fashion Gift Voucher,gyftr,no,store only,planetfashion.abfrl.in,page loaded and checked 2026-09-17,
Planet Fashion In Store,buyhatke,yes,store only,planetfashion.abfrl.in,page loaded and checked 2026-09-17,
PMJ Jewellers In Store,buyhatke,yes,store only,pmjjewels.com,page loaded and checked 2026-09-17,
Points for Good,buyhatke + gyftr + maximize,yes,website,pointsforgood.org,extension list (#26),
Polar bear In Store,buyhatke,no,store only,polarbear.co.in,web search 2026-09-17,
Porter,maximize,yes,website,porter.in,extension list (#26),
Porter Packers and Movers,gyftr,yes,website,porter.in,verified in Aug 2026 audit,
Pothys In Store,buyhatke,yes,store only,pothys.com,page loaded and checked 2026-09-17,
Pottery Barn Luxe In Store,buyhatke,yes,store only,potterybarn.in,page loaded and checked 2026-09-17,
Pottery Barn- Luxe Gift Card,gyftr,yes,website,potterybarn.com,extension list (#26),
Prestige,buyhatke + gyftr + maximize,yes,website,prestige.com,extension list (#26),
Pret A Manger Luxe In Store,buyhatke,yes,store only,pret.com,page loaded and checked 2026-09-17,
Pret A Manger-Luxe Gift Card,gyftr,yes,store only,pret.com,page loaded and checked 2026-09-17,
Pronto,buyhatke + gyftr + maximize,yes,app only,withpronto.com,web search: withpronto.com is Pronto home services; terms: redeem in Pronto app,
Puma,gyftr + maximize,yes,store only,in.puma.com,page loaded and checked 2026-09-17,
Puma In Store,buyhatke,yes,store only,in.puma.com,page loaded and checked 2026-09-17,
Punjab Grill,maximize,yes,store only,punjabgrill.in,page loaded and checked 2026-09-17,
Punjab Grill In Store,buyhatke,yes,store only,punjabgrill.in,page loaded and checked 2026-09-17,
Pure Home & Living,maximize,yes,website,purehomeandliving.com,same brand already on record (Pure Home + Living),
Pure Home + Living,buyhatke + gyftr,yes,website,purehomeandliving.com,extension list (#26),
PVR,maximize,yes,website,pvrcinemas.com,verified in Aug 2026 audit,
PVR Cinemas - GYFTR,maximize,yes,website,pvrcinemas.com,verified in Aug 2026 audit,
PVR INOX,gyftr,yes,website,pvrcinemas.com,extension list (#26),
Quick Heal,gyftr,no,website,quickheal.co.in,extension list (#26),
R B In Store,buyhatke,no,store only,randbfashion.in,web search 2026-09-17,R&B India (Apparel Group)
R&B,gyftr,yes,store only,randbfashion.in,web search 2026-09-17,R&B India (Apparel Group)
Rainbow Six Mobile,gyftr + maximize,yes,website,ubisoft.com,extension list (#26),
Rangriti,buyhatke + gyftr + maximize,yes,website,rangriti.com,extension list (#26),
Ratnadeep Retail,maximize,yes,store only,ratnadeep.com,page loaded and checked 2026-09-17,
Ratnadeep Retail In Store,buyhatke,yes,store only,ratnadeep.com,page loaded and checked 2026-09-17,
Ray Ban,buyhatke,yes,website,ray-ban.com,extension list (#26),
Raymond - Ready to Wear,gyftr + maximize,yes,store only,myraymond.com,page loaded and checked 2026-09-17,
Raymond Ready to Wear In Store,buyhatke,yes,store only,myraymond.com,page loaded and checked 2026-09-17,
Razer Gold,buyhatke + maximize,yes,website,gold.razer.com,extension list (#26),
Razorpay Money Bill,maximize,no,website,money.razorpay.com,confirmed 2026-09-10: auto: name in address,
Razorpay Money Flex,buyhatke + maximize,yes,not a shop,,hand fix 2026-09-10,Razorpay runs other shops' checkouts; its wallet voucher is not tied to one shop
Reader's Digest,gyftr,no,website,readersdigest.in,extension list (#26),
Relaxo,gyftr + maximize,yes,store only,relaxofootwear.com,page loaded and checked 2026-09-17,
Relaxo In Store,buyhatke,yes,store only,relaxofootwear.com,page loaded and checked 2026-09-17,
Reliance Digital,gyftr + maximize,yes,store only,reliancedigital.in,verified in Aug 2026 audit,
Reliance In Store,buyhatke,yes,store only,relianceretail.com,page loaded and checked 2026-09-17,
Reliance Jewels,gyftr + maximize,no,store only,reliancejewels.com,page loaded and checked 2026-09-17,
Reliance Jewels In Store,buyhatke,yes,store only,reliancejewels.com,page loaded and checked 2026-09-17,
Reliance Jio Mart,gyftr + maximize,yes,website,jiomart.com,extension list (#26),
Reliance My Jio Store,gyftr + maximize,yes,store only,jio.com,page loaded and checked 2026-09-17,
Reliance Smart,buyhatke + gyftr,yes,store only,,"Gyftr: cannot be used online, Smart Bazaar stores",
Reliance Smart Bazaar,gyftr,yes,store only,relianceretail.com,page loaded and checked 2026-09-17,
Reliance Smart Bazaar In Store,buyhatke,no,store only,relianceretail.com,page loaded and checked 2026-09-17,
Reliance Smart In Store,buyhatke,yes,store only,relianceretail.com,page loaded and checked 2026-09-17,
Reliance Smart Point,gyftr,no,store only,relianceretail.com,page loaded and checked 2026-09-17,
Reliance Smart Point In Store,buyhatke,no,store only,relianceretail.com,page loaded and checked 2026-09-17,
Reliance Trends,gyftr + maximize,yes,store only,trends.ajio.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Reliance Trends Footwear,gyftr,yes,store only,trends.ajio.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Reliance Trends In Store,buyhatke,yes,store only,trends.ajio.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Renee Cosmetics,gyftr,no,website,reneecosmetics.in,extension list (#26),
Replay In Store,buyhatke,yes,store only,replayjeans.com,site did not answer an automatic visit (2026-09-17),
Resonate Router UPS,buyhatke + maximize,yes,website,resonate.store,extension list (#26),
Riot League of Legends 1660,maximize,yes,website,riotgames.com,confirmed 2026-09-10: checked by hand,
Riot League of Legends 2900,maximize,yes,website,riotgames.com,confirmed 2026-09-10: checked by hand,
Riot League of Legends 415,maximize,yes,website,riotgames.com,confirmed 2026-09-10: checked by hand,
Riot League of Legends 4150,maximize,yes,website,riotgames.com,confirmed 2026-09-10: checked by hand,
Riot League of Legends 830,maximize,yes,website,riotgames.com,confirmed 2026-09-10: checked by hand,
Ritu Kumar Luxe In Store,buyhatke,yes,store only,ritukumar.com,page loaded and checked 2026-09-17,
RITU KUMAR- Luxe Gift Card,gyftr,yes,website,ritukumar.com,extension list (#26),
River Roost In Store,buyhatke,yes,store only,,voucher terms,resort booked by phone; no website found
Roblox,buyhatke + gyftr + maximize,yes,website,roblox.com,extension list (#26),
Roblox Gift Card,gyftr,yes,website,roblox.com,confirmed 2026-09-10: auto: name in address,
ROWAN- Luxe Gift Card,gyftr,yes,store only,,web search 2026-09-17,Reliance's toy store format; no website of its own
Salty,buyhatke,yes,website,salty.co.in,extension list (#26),
Samsonite,buyhatke + gyftr + maximize,yes,website,samsonite.in,extension list (#26),
Samsonite In Store,buyhatke,yes,store only,samsonite.in,page loaded and checked 2026-09-17,
Sandro Luxe In Store,buyhatke,yes,store only,sandro-paris.com,page loaded and checked 2026-09-17,
Sandro-Luxe Gift Card,gyftr,yes,store only,sandro-paris.com,page loaded and checked 2026-09-17,
Sathya In Store,buyhatke,yes,store only,sathya.store,voucher terms,
Satya Paul Luxe In Store,buyhatke,yes,store only,satyapaul.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Satya Paul- Luxe Gift Card,gyftr,no,website,satyapaul.com,extension list (#26),
Satya Paul-Luxe,buyhatke + maximize,yes,store only,satyapaul.com,"Luxe card works online only on 8 brand sites (luxegiftcard.com/terms-and-conditions); this brand is not one, so stores only",
Scotch & Soda -Luxe Gift Card,gyftr,no,store only,scotch-soda.com,page loaded and checked 2026-09-17,
Scotch and Soda Luxe In Store,buyhatke,yes,store only,scotch-soda.com,page loaded and checked 2026-09-17,
Scotch and Soda-Luxe,maximize,yes,store only,,"Luxe card works online only on 8 brand sites (luxegiftcard.com/terms-and-conditions); this brand is not one, so stores only",
Scotch Soda Luxe In Store,buyhatke,yes,store only,scotch-soda.com,page loaded and checked 2026-09-17,
Senco Gold,maximize,yes,store only,sencogoldanddiamonds.com,page loaded and checked 2026-09-17,
Senco Gold In Store,buyhatke,yes,store only,sencogoldanddiamonds.com,page loaded and checked 2026-09-17,
Seniority,gyftr,no,website,seniority.in,extension list (#26),
Shell Fuel 1 Day Wait,buyhatke,yes,app only,shell.in,terms: redeemed in Shell Asia app,
ShemarooMe,buyhatke + gyftr,yes,website,shemaroome.com,extension list (#26),
Shilhaandara In Store,buyhatke,yes,store only,,voucher terms,resort booked by phone; no website found
Shiv Naresh,buyhatke + gyftr,yes,website,shivnaresh.in,extension list (#26),
Shiva Organic,buyhatke + gyftr,yes,website,shivaorganic.com,extension list (#26),
Shoppers Stop,gyftr + maximize,no,website,shoppersstop.com,extension list (#26),
Shopy Vision,buyhatke + gyftr,yes,website,shopyvision.com,extension list (#26),
SIGREE,gyftr + maximize,yes,store only,speciality.co.in,page loaded and checked 2026-09-17,
SIGREE In Store,buyhatke,yes,store only,speciality.co.in,page loaded and checked 2026-09-17,
Simon Carter,maximize,yes,store only,,web search 2026-09-17,sold in India by Aditya Birla Fashion; no website of its own found
Simon Carter Gift Voucher,gyftr,no,store only,,web search 2026-09-17,sold in India by Aditya Birla Fashion; no website of its own found
Simon Carter In Store,buyhatke,yes,store only,,web search 2026-09-17,sold in India by Aditya Birla Fashion; no website of its own found
Siri Nature Roost In Store,buyhatke,yes,store only,,voucher terms,resort booked by phone; no website found
Skechers,buyhatke + gyftr + maximize,yes,website,skechers.in,extension list (#26),
Skechers In Store,buyhatke,yes,store only,skechers.in,page loaded and checked 2026-09-17,
Skinn,gyftr + maximize,no,store only,skinn.in,web search 2026-09-17,SKINN by Titan (skinn.com is a different brand)
Skinn In Store,buyhatke,yes,store only,skinn.in,web search 2026-09-17,SKINN by Titan (skinn.com is a different brand)
Skinn In Store 3 Day Wait,buyhatke,yes,store only,skinn.in,web search 2026-09-17,SKINN by Titan (skinn.com is a different brand)
Skullcandy,buyhatke + gyftr + maximize,yes,website,shop.brandeyes.in,extension list (#26),
Smile Foundation,buyhatke + gyftr + maximize,yes,website,smilefoundationindia.org,extension list (#26),
Snitch,gyftr + maximize,yes,website,snitch.com,extension list (#26),
Snitch E,buyhatke,yes,website,snitch.com,confirmed 2026-09-10: auto: name in address,
Soch,gyftr + maximize,yes,website,soch.com,extension list (#26),
Soch In Store,buyhatke,no,store only,soch.com,page loaded and checked 2026-09-17,
Solara,gyftr,yes,website,solara.in,extension list (#26),
Sony Playstation,gyftr,no,website,playstation.com,confirmed 2026-09-10: auto: name in address,
SonyLiv,buyhatke + gyftr,yes,website,sonyliv.com,extension list (#26),
SOTC Travel,maximize,yes,store only,sotc.in,page loaded and checked 2026-09-17,
SOTC Travel In Store,buyhatke,yes,store only,sotc.in,page loaded and checked 2026-09-17,
Soulflower,buyhatke + gyftr + maximize,yes,website,soulflower.in,extension list (#26),
Spar Hypermart In Store,buyhatke,yes,store only,sparindia.com,page loaded and checked 2026-09-17,
Speedo,buyhatke + gyftr + maximize,yes,website,speedo.com,extension list (#26),
Spotify,gyftr,no,website,spotify.com,extension list (#26),
Sri Jagdamba Pearls,buyhatke,yes,website,jpearls.com,extension list (#26),
SSUNSU,buyhatke + gyftr + maximize,yes,website,ssunsu.in,extension list (#26),
Starbucks,buyhatke + gyftr + maximize,yes,website,starbucks.in,extension list (#26),
StayVista,buyhatke + maximize,yes,website,stayvista.com,extension list (#26),
Steam,buyhatke,no,website,store.steampowered.com,same brand on record (listing inactive),
Steam Gift Card,gyftr,yes,website,steampowered.com,confirmed 2026-09-10: auto: name in address,
Steam Wallet,gyftr,yes,website,steampowered.com,extension list (#26),
Steam Wallet INR 150,maximize,no,website,store.steampowered.com,verified in Aug 2026 audit,
Steam Wallet INR 1680,maximize,no,website,store.steampowered.com,verified in Aug 2026 audit,
Steam Wallet INR 500,maximize,no,website,store.steampowered.com,verified in Aug 2026 audit,
Steam Wallet INR 975,maximize,no,website,store.steampowered.com,verified in Aug 2026 audit,
Sterling Holidays,buyhatke + maximize,yes,website,sterlingholidays.com,extension list (#26),
Steve Madde-Luxe,buyhatke + maximize,yes,website,stevemadden.in,"Luxe card terms (luxegiftcard.com/terms-and-conditions) list 8 brand sites where it works online: superdry.in, stevemadden.in, mothercare.in, gasjeans.in, dieselindia.com, armaniexchange.in, muji.in, sunglasshut.in",
Steve Madden Luxe In Store,buyhatke,yes,store only,stevemadden.in,page loaded and checked 2026-09-17,
Steve Madden-Luxe Gift Card,gyftr,yes,website,stevemadden.in,extension list (#26),
Street Food by Punjab,maximize,yes,store only,punjabgrill.in,page loaded and checked 2026-09-17,
Street Foods By Punjab Grill In Store,buyhatke,yes,store only,punjabgrill.in,page loaded and checked 2026-09-17,
STYLE BAAZAR,gyftr + maximize,yes,store only,stylebaazar.in,page loaded and checked 2026-09-17,
Style Bazaar In Store,buyhatke,yes,store only,stylebaazar.in,page loaded and checked 2026-09-17,
Subway,gyftr + maximize,yes,store only,subway.in,confirmed 2026-09-10: auto: name in address,
Subway In Store,buyhatke,yes,store only,subway.com,page loaded and checked 2026-09-17,
Sunglass Hut In Store,buyhatke,yes,store only,sunglasshut.in,page loaded and checked 2026-09-17,
Sunglass Hut- Luxe Gift Card,gyftr,yes,store only,sunglasshut.in,page loaded and checked 2026-09-17,
Superbottoms,buyhatke + gyftr + maximize,yes,website,superbottoms.com,extension list (#26),
Superdry Luxe In Store,buyhatke,yes,store only,superdry.in,page loaded and checked 2026-09-17,
SUPERDRY SPORT- Luxe Gift Card,gyftr,yes,store only,superdry.in,page loaded and checked 2026-09-17,
Superdry-Luxe,buyhatke + maximize,yes,website,superdry.in,"Luxe card terms (luxegiftcard.com/terms-and-conditions) list 8 brand sites where it works online: superdry.in, stevemadden.in, mothercare.in, gasjeans.in, dieselindia.com, armaniexchange.in, muji.in, sunglasshut.in",
Superdry-Luxe Gift Card,gyftr,yes,website,superdry.in,extension list (#26),
Surat Diamond,maximize,yes,website,suratdiamond.com,extension list (#26),
Surat Diamonds,gyftr,yes,website,suratdiamond.com,confirmed 2026-09-10: auto: name in address,
Surat Diamonds Main,maximize,yes,website,suratdiamond.com,confirmed 2026-09-10: auto: name in address,
Surat Diamonds Solitaire,maximize,yes,website,suratdiamond.com,confirmed 2026-09-10: auto: name in address,
Swan,gyftr,yes,store only,massiverestaurants.com,web search 2026-09-17,a Massive Restaurants brand
Sweet Bengal,gyftr + maximize,yes,store only,sweetbengal.co.in,page loaded and checked 2026-09-17,
Sweet Bengal In Store,buyhatke,yes,store only,sweetbengal.co.in,page loaded and checked 2026-09-17,
Sweet Truth,buyhatke + gyftr + maximize,yes,website,sweettruth.in,extension list (#26),
Swiggy Food Discount Voucher,gyftr,no,website,swiggy.com,verified in Aug 2026 audit,
Swiggy Instamart,buyhatke + gyftr,yes,website,swiggy.com,verified in Aug 2026 audit,
Swiggy Money Voucher,gyftr,yes,website,swiggy.com,extension list (#26),
Swiggy One Lite Membership,gyftr,no,website,swiggy.com,verified in Aug 2026 audit,
SWISS BEAUTY,gyftr,no,website,swissbeauty.in,extension list (#26),
TA iServeU Gift Card - Generic (Upto 2000),maximize,no,not a shop,,"a general-purpose prepaid card, not a shop (inactive)",
TA iServeU Gift Card - Generic Variant,maximize,no,not a shop,,"a general-purpose prepaid card, not a shop (inactive)",
TA iServeU Gift Card - Limited (Upto 2000),maximize,yes,not a shop,,"a general-purpose prepaid card, not a shop",
TA iServeU Gift Card - Limited Variant,maximize,yes,not a shop,,"a general-purpose prepaid card, not a shop",
TA iServeU Gift Card - Max Variant,maximize,no,not a shop,,"a general-purpose prepaid card, not a shop (inactive)",
TA iServeU Gift Card - Max Variant (Upto 1000),maximize,no,not a shop,,"a general-purpose prepaid card, not a shop (inactive)",
Taco Bell,maximize,yes,store only,tacobell.co.in,page loaded and checked 2026-09-17,
Taco Bell In Store,buyhatke,yes,store only,tacobell.co.in,page loaded and checked 2026-09-17,
Tagg,buyhatke,no,website,amdigital.in,terms: redeem at amdigital.in/product-category/brands/tagg (listing inactive),
Taj Dining,buyhatke,yes,store only,tajhotels.com,"terms: used at Taj, SeleQtions, Vivanta hotels",
Taj Experiences,buyhatke + gyftr + maximize,yes,store only,tajhotels.com,terms: tajhotels.com/giftcards; used at Taj hotels and outlets,
Taj Experiences In Store,buyhatke,yes,store only,tajhotels.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Taj Hotels J Wellness Circle,gyftr,yes,store only,tajhotels.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Taj Hotels J Wellness Circle Bliss Duo,maximize,yes,store only,tajhotels.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Taj Hotels J Wellness Circle Bliss Duo In Store,buyhatke,yes,store only,tajhotels.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Taj Hotels J Wellness Circle Bliss Solo,maximize,yes,store only,tajhotels.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Taj Hotels J Wellness Circle Bliss Solo In Store,buyhatke,yes,store only,tajhotels.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Taj Spa,buyhatke,yes,store only,tajhotels.com,"terms: used at Taj, SeleQtions, Vivanta hotels",
Taneira,buyhatke + gyftr + maximize,yes,store only,taneira.com,web search: taneira.com (Titan); Gyftr: cannot be used online; Maximize: checkout counters,
Taneira In Store,buyhatke,yes,store only,taneira.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Tanishq,gyftr,no,store only,tanishq.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Tanishq Diamond,maximize,yes,store only,tanishq.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Tanishq Diamond Jewellery,gyftr,no,store only,tanishq.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Tanishq Gold Coin,buyhatke + gyftr + maximize,yes,website,stores.tanishq.co.in,extension list (#26),
Tanishq Gold Coin In Store,buyhatke,yes,store only,tanishq.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Tanishq Gold Jewellery,gyftr + maximize,yes,store only,tanishq.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Tanishq Gold Jewellery In Store,buyhatke,yes,store only,tanishq.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Tanishq Studded In Store,buyhatke,yes,store only,tanishq.co.in,known brand site,
Tasva,gyftr + maximize,yes,store only,tasva.com,page loaded and checked 2026-09-17,
TATA CLiQ,gyftr + maximize,yes,website,tatacliq.com,extension list (#26),
TATA CLiQ Fashion,buyhatke + maximize,yes,website,tatacliq.com,confirmed 2026-09-10: auto: name in address,
Tata CliQ Luxury,buyhatke + gyftr + maximize,yes,website,tatacliq.com,confirmed 2026-09-10: auto: name in address,
Tattva Spa,buyhatke + gyftr + maximize,yes,website,tattvaspa.com,extension list (#26),
TEGO,buyhatke + gyftr + maximize,yes,website,tego.fit,extension list (#26),
TGI Fridays In Store,buyhatke,yes,store only,tgifindia.com,web search 2026-09-17,
TGIF,gyftr,yes,store only,tgifindia.com,web search 2026-09-17,
Thalaiva Biryani,buyhatke,yes,app only,eatsure.com,terms: only redeemable in the EatSure iOS/Android app (a Rebel Foods brand); eatsure.com rejected as this brand's site on 2026-09-10,
The Bear House,maximize,yes,website,thebearhouse.com,confirmed 2026-09-10: auto: name in address,
The Biryani Life,buyhatke,yes,app only,eatsure.com,terms: only redeemable in the EatSure iOS/Android app (a Rebel Foods brand); eatsure.com rejected as this brand's site on 2026-09-10,
The Body Shop,buyhatke + gyftr + maximize,yes,website,thebodyshop.in,extension list (#26),
The Collective,buyhatke + maximize,yes,website,thecollective.in,extension list (#26),
The Good Bowl,buyhatke + gyftr + maximize,yes,app only,eatsure.com,terms: only redeemable in the EatSure iOS/Android app (a Rebel Foods brand); eatsure.com rejected as this brand's site on 2026-09-10,
The Leela,maximize,yes,store only,theleela.com,page loaded and checked 2026-09-17,
The Man Company,buyhatke + gyftr + maximize,yes,website,themancompany.com,extension list (#26),
The Postcard Hotels,maximize,yes,store only,thepostcardhotel.com,site did not answer an automatic visit (2026-09-17),
The Raymond Shop,gyftr + maximize,yes,store only,myraymond.com,page loaded and checked 2026-09-17,
The Raymond Shop In Store,buyhatke,yes,store only,myraymond.com,page loaded and checked 2026-09-17,
The Skin Story,gyftr,no,website,theskinstory.in,extension list (#26),
The Sleep Company In Store,buyhatke,no,store only,thesleepcompany.in,page loaded and checked 2026-09-17,
The White Crow-Luxe Gift Card,gyftr,yes,store only,,web search 2026-09-17,"Reliance multi-brand store, now renamed AJIO Luxe Store; no website of its own"
Things2Do,buyhatke,yes,website,things2.do,extension list (#26),
Thinsane Pizza,buyhatke,yes,app only,eatsure.com,terms: only redeemable in the EatSure iOS/Android app (a Rebel Foods brand); eatsure.com rejected as this brand's site on 2026-09-10,
Third Wave Coffee,buyhatke + maximize,yes,app only,thirdwavecoffeeroasters.com,web search: thirdwavecoffeeroasters.com; terms: orders via Third Wave app,
Tim Hortons,gyftr + maximize,yes,store only,timhortons.in,page loaded and checked 2026-09-17,
Tim Hortons In Store,buyhatke,yes,store only,timhortons.in,page loaded and checked 2026-09-17,
Times Prime Lite,buyhatke,yes,website,timesprime.com,extension list (#26),
Times Prime Power,buyhatke,yes,website,timesprime.com,confirmed 2026-09-10: auto: name in address,
Times Prime Prive,buyhatke,yes,website,timesprime.com,confirmed 2026-09-10: auto: name in address,
Timezone,buyhatke + gyftr + maximize,yes,store only,timezonegames.com,"web search: timezonegames.com/en-in; Gyftr: cannot be used online, listed outlets",
TimeZone In Store,buyhatke,yes,store only,timezonegames.com,page loaded and checked 2026-09-17,
Tinder,buyhatke + gyftr + maximize,yes,website,tinder.com,extension list (#26),
Tira Beauty,buyhatke + maximize,yes,website,tirabeauty.com,"web search: tirabeauty.com; terms: Tira website, app and stores",
Titan,gyftr + maximize,yes,store only,titan.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Titan Eye Plus,gyftr + maximize,yes,store only,titaneyeplus.com,page loaded and checked 2026-09-17,
Titan Eye Plus In Store,buyhatke,yes,store only,titaneyeplus.com,page loaded and checked 2026-09-17,
Titan In Store 3 Day Wait,buyhatke,yes,store only,titan.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Titan Minimals,gyftr + maximize,yes,store only,titan.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Titan Minimals In Store,buyhatke,yes,store only,titan.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Titan Minimals In Store 3 Day Wait,buyhatke,yes,store only,titan.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Titan Smartwatches,gyftr,yes,store only,titan.co.in,"site exists, blocks automatic visits (checked 2026-09-17)",
Tods Luxe In Store,buyhatke,yes,store only,tods.com,"site exists, blocks automatic visits (checked 2026-09-17)",
TODS- Luxe Gift Card,gyftr,yes,store only,tods.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Toni & Guy - Luzo Gift Card,gyftr,yes,app only,luzo.app,terms: services booked through the Luzo app; real site luzo.app (luzoapp.com is a lookalike),
Tory Burch Luxe In Store,buyhatke,yes,store only,toryburch.com,page loaded and checked 2026-09-17,
TORY BURCH- Luxe Gift Card,gyftr,yes,store only,toryburch.com,page loaded and checked 2026-09-17,
Toscano,maximize,yes,store only,toscano.in,page loaded and checked 2026-09-17,
Toscano In Store,buyhatke,yes,store only,toscano.in,page loaded and checked 2026-09-17,
Trends Footwear,maximize,yes,store only,trends.ajio.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Trends Footwear In Store,buyhatke,yes,store only,trends.ajio.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Trends Junior,maximize,yes,store only,trends.ajio.com,"site exists, blocks automatic visits (checked 2026-09-17)",
Trends Junior In Store,buyhatke,yes,store only,trends.ajio.com,"site exists, blocks automatic visits (checked 2026-09-17)",
